Year,Month,Imports,Exports
1986,Apr,22477,20908
1986,May,22350,22203
1986,Jun,22836,22144
1986,Jul,24160,24834
1986,Aug,23495,25428
1986,Sep,23451,25071
1986,Oct,28006,27651
1986,Nov,26046,27145
1986,Dec,27468,27991
1987,Jan,23516,26057
1987,Feb,24118,20608
1987,Mar,30731,28347
1987,Apr,30489,28794
1987,May,31174,31126
1987,Jun,32127,30995
1987,Jul,33298,35246
1987,Aug,31933,34706
1987,Sep,32766,34345
1987,Oct,34714,35270
1987,Nov,34270,34644
1987,Dec,38818,37905
1988,Jan,33150,34841
1988,Feb,28470,29555
1988,Mar,37246,32642
1988,Apr,40081,36691
1988,May,39558,38734
1988,Jun,43186,40485
1988,Jul,44394,44110
1988,Aug,43829,46100
1988,Sep,44697,46180
1988,Oct,45788,46694
1988,Nov,48226,47758
1988,Dec,50186,49296
1989,Jan,43134,43515
1989,Feb,38472,36427
1989,Mar,48424,43106
1989,Apr,47919,45555
1989,May,48619,45707
1989,Jun,50054,48842
1989,Jul,48723,52535
1989,Aug,47969,53054
1989,Sep,46908,49977
1989,Oct,48779,52834
1989,Nov,46344,49458
1989,Dec,47445,49502
1990,Jan,41092,44598
1990,Feb,40473,37757
1990,Mar,51117,47255
1990,Apr,50640,47267
1990,May,56491,53718
1990,Jun,52021,53041
1990,Jul,54479,56603
1990,Aug,55706,59432
1990,Sep,53852,54625
1990,Oct,63208,64024
1990,Nov,64092,64583
1990,Dec,59362,56973
1991,Jan,60661,58197
1991,Feb,45009,45807
1991,Mar,57006,48845
1991,Apr,65817,59707
1991,May,67138,64355
1991,Jun,63592,61127
1991,Jul,69082,69685
1991,Aug,66755,67569
1991,Sep,66953,70657
1991,Oct,69282,72394
1991,Nov,70715,72756
1991,Dec,76974,74786
1992,Jan,55909,53174
1992,Feb,68175,66871
1992,Mar,73873,68274
1992,Apr,78551,71048
1992,May,81518,76582
1992,Jun,84621,80225
1992,Jul,84966,82162
1992,Aug,79371,81777
1992,Sep,82952,85489
1992,Oct,90021,89777
1992,Nov,85107,83632
1992,Dec,90232,85942
1993,Jan,63350,63724
1993,Feb,82848,78371
1993,Mar,86855,80812
1993,Apr,93654,85429
1993,May,90724,85084
1993,Jun,89295,85551
1993,Jul,98690,97872
1993,Aug,93034,92530
1993,Sep,92055,94655
1993,Oct,93566,96362
1993,Nov,92469,91495
1993,Dec,96058,94356
1994,Jan,80378,82111
1994,Feb,79305,72839
1994,Mar,96238,87050
1994,Apr,101905,91444
1994,May,104297,93615
1994,Jun,110753,99988
1994,Jul,109329,104484
1994,Aug,109665,108457
1994,Sep,113563,107996
1994,Oct,116174,112685
1994,Nov,117068,107229
1994,Dec,111617,102153
1995,Jan,104944,101321
1995,Feb,99706,84781
1995,Mar,121614,104554
1995,Apr,122755,101421
1995,May,133419,116653
1995,Jun,128939,114496
1995,Jul,133836,122265
1995,Aug,131207,121148
1995,Sep,130951,126625
1995,Oct,131257,122920
1995,Nov,124950,112650
1995,Dec,127689,115311
1996,Jan,130279,120185
1996,Feb,95974,90419
1996,Mar,120808,96683
1996,Apr,133037,116083
1996,May,129924,117908
1996,Jun,123798,108782
1996,Jul,138568,131946
1996,Aug,132074,124865
1996,Sep,130691,126091
1996,Oct,138106,129904
1996,Nov,131054,118409
1996,Dec,131409,116663
1997,Jan,131765,119374
1997,Feb,102273,89059
1997,Mar,128104,105525
1997,Apr,139099,120988
1997,May,134527,117003
1997,Jun,131720,119043
1997,Jul,150983,136632
1997,Aug,139766,129492
1997,Sep,133197,126863
1997,Oct,152931,142957
1997,Nov,133018,124679
1997,Dec,137822,124438
1998,Jan,113194,114432
1998,Feb,106753,87959
1998,Mar,123590,108585
1998,Apr,133190,115986
1998,May,124454,113256
1998,Jun,123258,116683
1998,Jul,123119,119083
1998,Aug,119873,119140
1998,Sep,115675,114219
1998,Oct,118711,117996
1998,Nov,113809,113086
1998,Dec,114260,107493
1999,Jan,107532,106874
1999,Feb,80213,79138
1999,Mar,108283,97086
1999,Apr,113303,106554
1999,May,108916,108573
1999,Jun,115694,110554
1999,Jul,127698,122623
1999,Aug,121921,124331
1999,Sep,124791,120998
1999,Oct,126788,125361
1999,Nov,125056,124729
1999,Dec,133643,123724
2000,Jan,125162,121931
2000,Feb,102059,95171
2000,Mar,136357,122764
2000,Apr,133642,123118
2000,May,140698,132837
2000,Jun,132484,126172
2000,Jul,142542,134423
2000,Aug,150440,146966
2000,Sep,156448,151221
2000,Oct,158846,154969
2000,Nov,139501,135599
2000,Dec,141903,129388
2001,Jan,120139,121407
2001,Feb,122355,104785
2001,Mar,134283,121312
2001,Apr,133164,120141
2001,May,136180,128177
2001,Jun,123789,115623
2001,Jul,141188,133373
2001,Aug,136388,133570
2001,Sep,142383,134620
2001,Oct,135242,133351
2001,Nov,123448,120219
2001,Dec,122703,115962
2002,Jan,109777,106563
2002,Feb,98077,95281
2002,Mar,134553,124033
2002,Apr,130399,123118
2002,May,133275,125873
2002,Jun,131245,124875
2002,Jul,151429,146415
2002,Aug,144284,141221
2002,Sep,151159,148033
2002,Oct,153367,150530
2002,Nov,142180,141031
2002,Dec,142592,135324
2003,Jan,133225,135028
2003,Feb,115984,105148
2003,Mar,154212,143087
2003,Apr,141302,134146
2003,May,145796,143022
2003,Jun,146369,142343
2003,Jul,159883,157574
2003,Aug,152918,151171
2003,Sep,162164,157518
2003,Oct,168971,164753
2003,Nov,161762,153774
2003,Dec,168168,156713
2004,Jan,134472,135312
2004,Feb,154646,134794
2004,Mar,177987,162918
2004,Apr,175993,159979
2004,May,174787,165431
2004,Jun,177810,168272
2004,Jul,189261,183626
2004,Aug,185960,182745
2004,Sep,186159,179664
2004,Oct,191478,191232
2004,Nov,179906,179659
2004,Dec,185844,176923
2005,Jan,184492,182448
2005,Feb,137729,127527
2005,Mar,182491,168681
2005,Apr,182710,172489
2005,May,202685,193374
2005,Jun,196538,189479
2005,Jul,201647,198436
2005,Aug,209870,205937
2005,Sep,214350,210165
2005,Oct,210028,213504
2005,Nov,204372,200351
2005,Dec,205628,188771
2006,Jan,185653,190020
2006,Feb,176650,153618
2006,Mar,211701,193465
2006,Apr,203244,188784
2006,May,207816,193247
2006,Jun,215985,202177
2006,Jul,224725,219571
2006,Aug,235637,226244
2006,Sep,231839,220090
2006,Oct,233494,230386
2006,Nov,237750,228876
2006,Dec,235495,214686
2007,Jan,211824,207414
2007,Feb,178935,171389
2007,Mar,235156,206836
2007,Apr,233203,212605
2007,May,230868,216591
2007,Jun,244101,224672
2007,Jul,246711,238526
2007,Aug,256828,243152
2007,Sep,253452,238691
2007,Oct,261673,253018
2007,Nov,259956,244005
2007,Dec,259652,232256
2008,Jan,247553,240096
2008,Feb,200213,184390
2008,Mar,250655,222532
2008,Apr,259621,243401
2008,May,266397,238942
2008,Jun,247196,223223
2008,Jul,284584,265104
2008,Aug,260754,247873
2008,Sep,263235,247209
2008,Oct,291204,276913
2008,Nov,239305,231153
2008,Dec,217580,205816
2009,Jan,180540,187768
2009,Feb,165148,141938
2009,Mar,193656,175472
2009,Apr,215398,199043
2009,May,215361,204375
2009,Jun,227620,211136
2009,Jul,233947,212279
2009,Aug,235150,213301
2009,Sep,255040,225898
2009,Oct,259945,240755
2009,Nov,254821,234095
2009,Dec,258267,224822
2010,Jan,251787,222279
2010,Feb,202105,182455
2010,Mar,270641,231755
2010,Apr,277466,242231
2010,May,279321,254234
2010,Jun,298161,267561
2010,Jul,292305,261798
2010,Aug,302040,290121
2010,Sep,304678,280230
2010,Oct,296436,274169
2010,Nov,296551,273043
2010,Dec,296546,253003
2011,Jan,299646,283683
2011,Feb,252956,227842
2011,Mar,321571,281487
2011,Apr,294480,252042
2011,May,315637,279944
2011,Jun,332478,292216
2011,Jul,322077,286152
2011,Aug,344664,309888
2011,Sep,311761,271799
2011,Oct,328824,305685
2011,Nov,322667,278563
2011,Dec,320693,271783
2012,Jan,268156,259300
2012,Feb,305536,259750
2012,Mar,306301,262425
2012,Apr,309126,266253
2012,May,330072,294506
2012,Jun,322932,278228
2012,Jul,316338,276208
2012,Aug,347689,311657
2012,Sep,358312,313161
2012,Oct,339699,297027
2012,Nov,351838,307767
2012,Dec,358914,310964
2013,Jan,332281,304818
2013,Feb,249729,215742
2013,Mar,340857,291711
2013,Apr,332963,290267
2013,May,335809,291542
2013,Jun,327309,277637
2013,Jul,342565,305413
2013,Aug,347059,307490
2013,Sep,359841,317830
2013,Oct,361196,323144
2013,Nov,370104,325522
2013,Dec,365228,310877
2014,Jan,323436,303456
2014,Feb,266587,212914
2014,Mar,351889,301523
2014,Apr,340972,285682
2014,May,348323,305973
2014,Jun,352316,309211
2014,Jul,368293,326160
2014,Aug,358750,327225
2014,Sep,382355,331986
2014,Oct,381569,331727
2014,Nov,378946,326783
2014,Dec,372007,312755
2015,Jan,348886,311871
2015,Feb,264220,228337
2015,Mar,342319,296113
2015,Apr,331108,291944
2015,May,331940,291830
2015,Jun,345302,299518
2015,Jul,349305,320871
2015,Aug,332327,307253
2015,Sep,353114,316732
2015,Oct,349242,319592
2015,Nov,348397,315304
2015,Dec,354885,309179
2016,Jan,317354,299872
2016,Feb,237633,204484
2016,Mar,322388,275360
2016,Apr,316301,285274
2016,May,317728,291500
2016,Jun,342114,296519
2016,Jul,337773,304465
2016,Aug,341766,309670
2016,Sep,367724,328019
2016,Oct,350949,313726
2016,Nov,374987,340935
2016,Dec,385817,340340
2017,Jan,308643,296299
2017,Feb,297978,241707
2017,Mar,364163,321895
2017,Apr,339520,305389
2017,May,338753,303105
2017,Jun,377684,329406
2017,Jul,356190,326589
2017,Aug,368190,332663
2017,Sep,403413,358705
2017,Oct,378694,334735
2017,Nov,407129,367423
2017,Dec,420586,360688
2018,Jan,381971,350046
2018,Feb,288476,245744
2018,Mar,403236,347732
2018,Apr,377173,330224
2018,May,394618,351368
2018,Jun,394471,340334
2018,Jul,406234,359125
2018,Aug,428452,376303
2018,Sep,422676,374961
2018,Oct,428142,383651
2018,Nov,409284,364320
2018,Dec,391187,339938
2019,Jan,359000,348701
2019,Feb,277508,228674
2019,Mar,402883,343641
2019,Apr,356609,321517
2019,May,377774,343065
2019,Jun,364794,309607
2019,Jul,370790,338618
2019,Aug,380777,352727
2019,Sep,379325,347685
2019,Oct,379118,348528
2019,Nov,385438,359270
2019,Dec,383773,351276
2020,Jan,299991,269396
2020,Feb,277108,238558
2020,Mar,358354,323647
2020,Apr,332799,309462
2020,May,331341,317610
2020,Jun,338949,305608
2020,Jul,358282,328466
2020,Aug,359110,344484
2020,Sep,392042,379348
2020,Oct,381413,344657
2020,Nov,405177,379568
2020,Dec,437947,392216
2021,Jan,413208,387980
2021,Feb,325776,311077
2021,Mar,436091,409124
2021,Apr,416650,384874
2021,May,419278,393814
2021,Jun,447062,406607
2021,Jul,451935,416953
2021,Aug,459968,433671
2021,Sep,484206,441814
2021,Oct,448741,418278
2021,Nov,486023,474417
2021,Dec,522267,489514
2022,Jan,452901,459549
2022,Feb,345898,313790
2022,Mar,410029,372767
2022,Apr,425585,389003
2022,May,424812,388137
2022,Jun,449241,380708
2022,Jul,407193,379638
2022,Aug,385134,371870
2022,Sep,446569,401649
2022,Oct,395524,374655
2022,Nov,387130,360042
2022,Dec,399731,348085
2023,Jan,316318,290945
2023,Feb,331569,286204
2023,Mar,407754,367159
2023,Apr,374910,338335
2023,May,353959,327560
2023,Jun,393924,337350
2023,Jul,375143,345156
2023,Aug,383886,358294
2023,Sep,444917,380337
